      Tamanho      Código                                                                                                                                                                                                                          Descrição
644       1.0     V405911                                                                                                                                                                                 Número da faixa do rendimento/retirada em dinheiro
654       8.0     V405912                                                                                                                              Valor em dinheiro do rendimento mensal que recebeu nesse(s) outro(s) trabalho(s) no mês de referência
656       1.0      V40592                                                                                                                        Recebeu/fez nesse(s) outro(s) trabalhos no mês de referencia, rendimento/retirada em produtos e mercadorias
658       1.0     V405921                                                                                                                                                                   Número da faixa do rendimento/retirada em produtos e mercadorias
668       8.0     V405922                                                                                                                Valor estimado do produtos e mercadorias que recebia normalmente nesse(s) outro(s) trabalho(s) no mês de referência
670       3.0       V4062                                                                                                                                              Quantas horas ... trabalhava normalmente, por semana, nesse(s) outro(s) trabalho(s)? 
672       3.0      V4062C                                                                                                                                         Quantas horas ... trabalhou efetivamente na semana de referência nesses outros trabalhos? 
674       1.0       V4063                          ... gostaria de trabalhar mais horas do que as ... (soma das horas declaradas nas variáveis VD4031, VD4032, VD4033) horas que efetivamente trabalhou no(s) trabalho(s) que tinha na semana de referência?
677       1.0      V4063A                                      ... gostaria de trabalhar mais horas do que as ... (soma das horas declaradas nos quesitos 39, 56 e 62) horas que normalmente trabalhava no(s) trabalho(s) que tinha na semana de referência?
680       1.0       V4064  No mês de referência, ... estaria disponível para trabalhar mais do que as (soma das horas declaradas nas variáveis VD4031, VD4032, VD4033) horas que efetivamente trabalhou no(s) trabalho(s) que tinha na semana de referência?
683       1.0      V4064A             No mês de referência, ... estaria disponível para trabalhar mais do que as (soma das horas declaradas nos quesitos 39, 56 e 62) horas que normalmente trabalhava  no(s) trabalho(s) que tinha na semana de referência?
687       1.0       V4071                                                                          No período de ... a ... (período de referência de 30 dias), ... Tomou alguma providência para conseguir trabalho, seja um emprego ou um negócio próprio? 
690       2.0       V4072                                                                                                No período de ... a ... (período de referência de 30 dias), qual foi a principal providência que ... tomou para conseguir trabalho?
702       1.0      V4072A                                                                                                No período de ... a ... (período de referência de 30 dias), qual foi a principal providência que ... tomou para conseguir trabalho?
712       1.0       V4073                                                                                            Embora não tenha tomado providência para conseguir trabalho, gostaria de ter trabalhado na semana de ... a ... (semana de referência) ?
715       1.0       V4074                                                                                 Qual foi o principal motivo de ... não ter tomado providência para conseguir trabalho no período de  ... a ... (período de referência de 30 dias)?
724       2.0      V4074A                                                                                 Qual foi o principal motivo de ... não ter tomado providência para conseguir trabalho no período de  ... a ... (período de referência de 30 dias)?
735       1.0      V4075A                                                                                                                           Quanto tempo depois de ... (último dia da semana de referência) irá começar esse trabalho que conseguiu?
739       2.0     V4075A1                                                                                                                                                                              Número de meses para começar o trabalho que conseguiu
741       1.0       V4076                                                                                         Até o dia ... (último dia da semana de referência), fazia quanto tempo que ... estava sem qualquer trabalho e tentando conseguir trabalho?
746       2.0      V40761                                                                                                                                                       fazia quanto tempo que vinha procurando trabalho (de 1 mês a menos de 1 ano)
748       2.0      V40762                                                                                                                                                      fazia quanto tempo que vinha procurando trabalho (de 1 ano a menos de 2 anos)
750       2.0      V40763                                                                                                                                                                      fazia quanto tempo vinha procurando trabalho (2 anos ou mais)
752       1.0       V4077                                                                                                            Se tivesse conseguido um trabalho, ... poderia ter começado a trabalhar na semana de ... a ... (semana de referência)? 
755       1.0       V4078                                                                                                         Qual foi o principal motivo para ... não querer(poder começar a) trabalhar na semana de  ... a ... (semana de referência)?
763       1.0      V4078A                                                                                                         Qual foi o principal motivo para ... não querer(poder começar a) trabalhar na semana de  ... a ... (semana de referência)?
770       1.0       V4082                                                                                                                                                          No período de captação de 358 dias, ... trabalhou por pelo menos 1 hora? 
774       2.0      VD2002                                                                                                                                                                                                              Condição no domicílio
791       2.0      VD2003                                                                        Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)
792       1.0      VD2004                                                                                                                                                                                                       Espécie da unidade doméstica
796       2.0      VD2006                                                                                                                                                                                Faixas etárias utilizadas no processo de calibração
813       1.0      VD3004                                                                                          Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental -  SISTEMA DE 9 ANOS
821       2.0      VD3005                                                                                                                      Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS
839       1.0      VD3006                                                                                                           Grupos de anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental  - SISTEMA DE 9 ANOS
846       1.0      VD4001                                                                                                                           Condição em relação à força de trabalho na semana de referência para pessoas de 14 anos ou mais de idade
849       1.0      VD4002                                                                                                                                              Condição de ocupação na semana de referência para pessoas de 14 anos ou mais de idade
852       1.0      VD4003                                                                                                                                                               Força de trabalho potencial para pessoas de 14 anos ou mais de idade
855       1.0      VD4004                                                                                                                                              Subocupação por insuficiência de horas efetivamente trabalhadas em todos os trabalhos
857       1.0     VD4004A                                                                                                                                             Subocupação por insuficiência de horas habitualmente trabalhadas em todos os trabalhos
859       1.0      VD4005                                                                                                                                                                                       Pessoas desalentadas na semana de referência
861       1.0      VD4007                                                                                                                         Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade
866       1.0      VD4008                                                                                       Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados)
873       2.0      VD4009                                                                                                  Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade
884       2.0      VD4010                                                                                        Grupamentos de atividade principal do empreendimento do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade
897       2.0      VD4011                                                                                                                    Grupamentos ocupacionais do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade
909       1.0      VD4012                                                                                                   Contribuição para instituto de previdência em qualquer trabalho da semana de referência para pessoas de 14 anos ou mais de idade
912       1.0      VD4013                                                                                                                Faixa das horas habitualmente trabalhadas por semana em todos os trabalhos para pessoas de 14 anos ou mais de idade
918       1.0      VD4014                                                                                                   Faixa das horas efetivamente trabalhadas na semana de referência em todos os trabalhos  para pessoas de 14 anos ou mais de idade
